code,coord_source_code,lat_deg,lon_deg,height_m,X,Y,Z,geomag_lat,geomag_lon,has_coordinates
BILI00RUS,BILI,68.076,166.438,456.238,-2321892.985,560096.883,5894691.938,66.0795588453498,166.438,True
BILL00USA,BILL,33.578,-117.065,470.06,-2420420.5012,-4737131.5508,3507827.665,39.40909356622446,-117.065,True
BJCO00BEN,BJCO,6.385,2.45,30.7,6333076.505,270973.437,704551.984,-7.2408692982965706,2.45,True
BJFS00CHN,BJFS,39.609,115.892,87.413,-2148743.808,4426641.281,4044655.993,39.77599189102171,115.892,True
BJNM00CHN,BJNM,40.245,116.224,118.6,-2154287.413,4373440.047,4098885.628,40.52800621775432,116.224,True
BLYT00USA,BLYT,33.61,-114.715,85.9,-2223206.72,-4830299.8,3510587.59,39.95213068044676,-114.715,True
BNEU00LAO,BNEU,21.644,101.917,1012.0,-1224961.726,5804226.511,2338188.568,18.015411755575325,101.917,True
BNOA00IDN,BNOA,-8.746,115.21,39.056,-2685309.038,5704009.251,-963466.461,-18.071788130396836,115.21,True
BOAV00BRA,BOAV,2.845,-60.701,69.48,3117452.21,-5555487.82,314480.74,7.878324284170252,-60.701,True
BOGI00POL,BOGI,52.475,21.035,139.9,3633815.7,1397453.9,5035280.8,51.70470162667346,21.035,True
BOGT00COL,BOGT,4.64,-74.081,2576.778,1744399.0397,-6116037.5577,512731.7532,14.11681037331391,-74.081,True
BOR100POL,BOR1,52.277,17.073,124.9,3738358.833,1148173.963,5021816.113,51.15376250925173,17.073,True
BRAN00USA,BRAN,34.185,-118.277,246.249,-2502254.8882,-4651654.015,3563569.3543,39.73615357849385,-118.277,True
BRAZ00BRA,BRAZ,-15.947,-47.878,1106.041,4115014.1128,-4550641.5225,-1741444.0984,-16.23288523992167,-47.878,True
BREW00USA,BREW,48.132,-119.683,238.627,-2112007.1404,-3705351.8421,4726827.1606,53.68636634848642,-119.683,True
BRFT00BRA,BRFT,-3.877,-38.426,21.7,4985393.532,-3954993.417,-428426.704,-11.335129444150851,-38.426,True
BRMG00DEU,BRMG,47.908,7.633,261.6,4245557.1,568958.1,4710200.0,45.517843289245086,7.633,True
BRMU00GBR,BRMU,32.37,-64.696,-11.6,2304703.476,-4874817.177,3395186.95,36.50217777638522,-64.696,True
BRST00FRA,BRST,48.38,-4.497,65.5,4231162.0,-332747.0,4745131.0,45.13225259043986,-4.497,True
BRUN00BRN,BRUN,4.971,114.952,90.669,-2680694.374,5761268.529,549016.773,-1.886212620411908,114.952,True
